name,value,year,lastValue,rank
Google,141703,2017,140857.900000001,2
Microsoft,79999,2017,79278.6000000007,3
Coca-Cola,69733,2017,70069.8999999997,4
Amazon,64796,2017,63350.2000000013,5
Samsung,56249,2017,55804.9000000004,6
Toyota,50291,2017,50619.8999999997,7
Facebook,48188,2017,46628.5000000014,8
Mercedes-Benz,47829,2017,47395.1000000004,9
IBM,46829,2017,47396.0999999995,10
GE,44208,2017,44100.2000000001,11
McDonald's,41533,2017,41317.8000000002,12
BMW,41521,2017,41522.4,13
Disney,40772,2017,40573.8000000002,14
Intel,39459,2017,39208.3000000002,15
Cisco,31930,2017,31831.8000000001,16
Oracle,27466,2017,27374.6000000001,17
Nike,27021,2017,26822.3000000002,18
Louis Vuitton,22919,2017,23026.8999999999,19
Honda,22696,2017,22637.0000000001,20
SAP,22635,2017,22500.8000000001,21
Pepsi,20491,2017,20468.4,22
H&M,20488,2017,20707.2999999998,23
Zara,18573,2017,18392.3000000002,24
IKEA,18472,2017,18408.2000000001,25
Gillette,18200,2017,18374.9999999998,26
American Express,17787,2017,17844.0999999999,27
Pampers,16416,2017,16387.8,28
UPS,16387,2017,16281.6000000001,29
J.P. Morgan,15749,2017,15596.8000000001,30
Budweiser,15375,2017,15347.4,31
Hermès,14210,2017,14072.3000000001,32
Ford,13643,2017,13574.9000000001,33
eBay,13224,2017,13215.2,34
Hyundai,13193,2017,13128.4000000001,35
NESCAFÉ,12661,2017,12646.6,36
Accenture,12471,2017,12427.2,37
Audi,12023,2017,12000.6,38
Nissan,11534,2017,11487.2,39
Volkswagen,11522,2017,11513.4,40
Philips,11519,2017,11500.7,41
AXA,11073,2017,11023.6,42
Kellogg's,10972,2017,11045.8999999999,43
Goldman Sachs,10864,2017,10715.4000000001,44
L'Oréal,10674,2017,10699.6,45
Citi,10599,2017,10566.7,46
HSBC,10534,2017,10526.4,47
Porsche,10129,2017,10069.8000000001,48
Allianz,10059,2017,10005.9,49
Siemens,9982,2017,9925.30000000005,50
Gucci,9969,2017,9910.60000000005,51
Canon,9788,2017,9917.29999999988,52
HP,9541,2017,9625.49999999992,53
Danone,9322,2017,9309.50000000001,54
adidas,9216,2017,9082.90000000012,55
Adobe,9060,2017,8912.60000000013,56
Hewlett Packard Enterprise,8951,2017,9158.59999999981,57
3M,8947,2017,8872.20000000007,58
Nestlé,8728,2017,8726,59
Starbucks,8704,2017,8582.60000000011,60
Sony,8474,2017,8458.10000000001,61
Colgate,8325,2017,8333.79999999999,62
Morgan Stanley,8205,2017,8104.50000000009,63
Visa,7815,2017,7808.20000000001,64
